Account Manager,Rep Name,Account Number,Name,Address,Subscription Date,Senior Citizen,Partner,Dependents,Tenure,Phone Service,Multiple Lines,Internet Service,Modem Age,Online Security,Online Backup,Device Protection,Tech Support,Streaming TV,Streaming Movies,Contract,Paperless Billing,Payment Method,Monthly Charges,Total Charges,Churn,Churn Date,Latitude,Longitude,Postal Code,Region
85-3745646,Shivani Costa,7590-VHVEG,"Weimann, Hintz and Stamm",99925 Doe Crossing Street,2/26/2017,No,Yes,No,10,No,No phone service,DSL,> 4 Years,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,29.85,29.85,Yes,12/31/2017,42.2506179,-71.1250359,2136,Massachusetts
66-9184652,Erika Rodriquez,5575-GNVDE,Senger Group,1 Petterle Pass,8/3/2017,No,No,No,4,Yes,No,DSL,1 - 2 Years,Yes,No,Yes,No,No,No,One year,No,Mailed check,56.95,1889.5,Yes,12/31/2017,42.25046,-71.1254,2136,Illinois
85-3745646,Shivani Costa,3668-QPYBK,Beer Inc,164 Vernon Hill,2/15/2018,No,No,No,8,Yes,No,DSL,Less than 1 Year,Yes,Yes,No,No,No,No,Month-to-month,Yes,Mailed check,53.85,108.15,No,,42.34088,-71.0568,2127,Illinois
75-8051982,Hollie Conway,7795-CFOCW,Purdy-Murphy,23967 Center Pass,3/20/2017,No,No,No,9,No,No phone service,DSL,1 - 2 Years,Yes,No,Yes,Yes,No,No,One year,No,Bank transfer (automatic),42.3,1840.75,Yes,12/31/2017,42.344837,-71.053148,2210,Massachusetts
16-0420024,Ariya Almond,9237-HQITU,Champlin Group,170 Holmberg Junction,1/30/2018,No,No,No,9,Yes,No,Fiber optic,Less than 1 Year,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,70.7,151.65,No,,42.344958,-71.05306,2210,Massachusetts
10-8807007,Alec Wilks,9305-CDSKC,Lebsack Group,8342 Stang Avenue,4/29/2017,No,No,No,8,Yes,Yes,Fiber optic,1 - 2 Years,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.65,820.5,Yes,12/31/2017,42.3450238,-71.0528913,2210,Illinois
25-9781941,Cleo Frederick,1452-KIOVK,Towne-Klein,9 Arkansas Way,7/22/2017,No,No,Yes,5,Yes,Yes,Fiber optic,> 4 Years,No,Yes,No,No,Yes,No,Month-to-month,Yes,Credit card (automatic),89.1,1949.4,Yes,12/31/2017,42.347022,-71.050817,2210,Illinois
78-8973798,Jena Durham,6713-OKOMC,"Larson, Jerde and Goyette",86465 Old Gate Plaza,8/1/2017,No,No,No,4,No,No phone service,DSL,> 4 Years,Yes,No,No,No,No,No,Month-to-month,No,Mailed check,29.75,301.9,Yes,12/31/2017,42.348403,-71.050211,2210,Illinois
16-0420024,Ariya Almond,7892-POOKP,Marks Inc,36875 Kedzie Way,3/31/2017,No,Yes,No,9,Yes,Yes,Fiber optic,1 - 2 Years,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,104.8,3046.05,Yes,12/31/2017,42.34091,-71.0564,2127,Massachusetts
86-3601877,Aniyah Delaney,6388-TABGU,Towne Group,21 Gulseth Parkway,4/3/2017,No,No,Yes,8,Yes,No,DSL,> 4 Years,Yes,Yes,No,No,No,No,One year,No,Bank transfer (automatic),56.15,3487.95,Yes,12/31/2017,42.348944,-71.048991,2210,Illinois
10-8807007,Alec Wilks,9763-GRSKD,"Hand, Quigley and Runte",82 Melby Road,3/6/2017,No,Yes,Yes,9,Yes,No,DSL,> 4 Years,Yes,No,No,No,No,No,Month-to-month,Yes,Mailed check,49.95,587.45,Yes,12/31/2017,42.3492746,-71.0495207,2210,Massachusetts
25-9781941,Cleo Frederick,7469-LKBCI,Olson-Lebsack,13 Scott Trail,7/9/2017,No,No,No,5,Yes,No,No,> 4 Years,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),18.95,326.8,Yes,12/31/2017,42.349446,-71.049447,2210,Illinois
20-9329110,Emil Webber,8091-TTVAX,"Nikolaus, Cormier and Zulauf",258 Acker Trail,2/14/2017,No,Yes,No,10,Yes,Yes,Fiber optic,1 - 2 Years,No,No,Yes,No,Yes,Yes,One year,No,Credit card (automatic),100.35,5681.1,Yes,12/31/2017,42.349446,-71.049447,2210,Massachusetts
78-8973798,Jena Durham,0280-XJGEX,Goodwin Inc,1 4th Terrace,8/16/2017,No,No,No,4,Yes,Yes,Fiber optic,1 - 2 Years,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.7,5036.3,Yes,12/31/2017,42.349446,-71.049447,2210,Illinois
50-8904668,Marsha Lester,5129-JLPIS,Wisozk-Kilback,7 Raven Street,5/30/2017,No,No,No,7,Yes,No,Fiber optic,1 - 2 Years,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,105.5,2686.05,Yes,12/31/2017,42.349446,-71.049447,2210,Illinois
87-5056698,Carolyn Walmsley,3655-SNQYZ,Jacobson LLC,28182 Stang Alley,8/7/2017,No,Yes,Yes,4,Yes,Yes,Fiber optic,1 - 2 Years,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),113.25,7895.15,Yes,12/31/2017,42.349446,-71.049447,2210,Illinois
58-8364238,Jenny Hancock,8191-XWSZG,Carter LLC,20 Golf Course Plaza,2/5/2017,No,No,No,10,Yes,No,No,New,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.65,1022.95,Yes,12/31/2017,42.349446,-71.049447,2210,Massachusetts
73-9095501,Floyd Black,9959-WOFKT,McDermott Group,5196 Rockefeller Hill,6/14/2017,No,No,Yes,6,Yes,Yes,Fiber optic,1 - 2 Years,Yes,No,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),106.7,7382.25,Yes,12/31/2017,42.349446,-71.049447,2210,Illinois
10-8807007,Alec Wilks,4190-MFLUW,Kuhn Group,4890 Cordelia Parkway,4/18/2017,No,Yes,Yes,8,Yes,No,DSL,1 - 2 Years,No,No,Yes,Yes,No,No,Month-to-month,No,Credit card (automatic),55.2,528.35,Yes,12/31/2017,42.349446,-71.049447,2210,Illinois
75-8051982,Hollie Conway,4183-MYFRB,"Schuppe, Zulauf and Sauer",1604 Ohio Trail,1/23/2016,No,No,No,33,Yes,No,Fiber optic,1 - 2 Years,No,Yes,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,90.05,1862.9,No,,42.349446,-71.049447,2210,Massachusetts
66-9184652,Erika Rodriquez,8779-QRDMV,Bradtke-Koepp,5826 Paget Place,2/14/2018,Yes,No,No,8,No,No phone service,DSL,1 - 2 Years,No,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,39.65,39.65,No,,42.349446,-71.049447,2210,Illinois
85-3745646,Shivani Costa,1680-VDCWW,Gorczany-Heathcote,64267 Dottie Junction,3/27/2017,No,Yes,No,9,Yes,No,No,New,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,Yes,12/31/2017,42.349446,-71.049447,2210,Massachusetts
69-0108929,Kelsea Esquivel,1066-JKSGK,"Von, Langworth and Hudson",60 Sutteridge Junction,3/19/2017,No,No,No,9,Yes,No,No,> 4 Years,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,Yes,12/31/2017,42.349446,-71.049447,2210,Massachusetts
42-3903575,Claudia Todd,3638-WEABW,Ward Inc,92 Pine View Court,4/29/2017,No,Yes,No,8,Yes,Yes,DSL,> 4 Years,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,Yes,12/31/2017,42.349446,-71.049447,2210,Illinois
17-1938812,Eloise Broadhurst,6322-HRPFA,"D'Amore, Keebler and Hansen",23 Emmet Avenue,4/1/2017,No,Yes,Yes,8,Yes,No,DSL,> 4 Years,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,Yes,12/31/2017,42.349446,-71.049447,2210,Illinois
25-9781941,Cleo Frederick,6865-JZNKO,"Steuber, McKenzie and Kunze",64 Miller Hill,5/7/2017,No,No,No,7,Yes,No,DSL,> 4 Years,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,Yes,12/31/2017,42.349446,-71.049447,2210,Illinois
17-1938812,Eloise Broadhurst,6467-CHFZW,Walter-Grady,2 Grayhawk Point,5/25/2017,No,Yes,Yes,7,Yes,Yes,Fiber optic,> 4 Years,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,Yes,12/31/2017,42.349446,-71.049447,2210,Illinois
25-9781941,Cleo Frederick,8665-UTDHZ,Goyette-Spencer,40 Buell Hill,3/12/2017,No,Yes,Yes,9,No,No phone service,DSL,> 4 Years,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,Yes,12/31/2017,42.349446,-71.049447,2210,Massachusetts
66-9184652,Erika Rodriquez,5248-YGIJN,Roberts and Sons,983 Sauthoff Junction,8/20/2017,No,Yes,No,4,Yes,Yes,DSL,1 - 2 Years,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,Yes,12/31/2017,42.349446,-71.049447,2210,Illinois
98-3691700,Dexter Dawe,8773-HHUOZ,Watsica Group,1 Melody Avenue,4/4/2017,No,No,Yes,8,Yes,No,DSL,> 4 Years,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,Yes,12/31/2017,42.349446,-71.049447,2210,Illinois
